indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.THC,MDG: South-eastern Asia,2022,41.28712,,
FRESP.THC,MDG: Southern Asia,2012,18.87148,,
FRESP.THC,MDG: Southern Asia,2022,26.92978,,
FRESP.THC,MDG: Southern Asia (excluding India),2012,27.88039,,
FRESP.THC,MDG: Southern Asia (excluding India),2022,37.10069,,
FRESP.THC,MDG: Sub-Saharan Africa,2012,29.95053,,
FRESP.THC,MDG: Sub-Saharan Africa,2022,33.79735,,
FRESP.THC,MDG: Western Asia,2012,33.17015,,
FRESP.THC,MDG: Western Asia,2022,37.22529,,
FRESP.THC,MDG: World,2012,29.40184,,
FRESP.THC,MDG: World,2022,31.09992,,
FRESP.THC,MEX,2012,32.76174,,
FRESP.THC,MEX,2013,33.02256,,
FRESP.THC,MEX,2014,34.59288,,
FRESP.THC,MEX,2015,34.74515,,
FRESP.THC,MEX,2016,33.68204,,
FRESP.THC,MEX,2017,33.45025,,
FRESP.THC,MEX,2018,34.43382,,
FRESP.THC,MEX,2019,34.3602,,
FRESP.THC,MEX,2020,34.28566,,
FRESP.THC,MEX,2021,34.40608,,
FRESP.THC,MEX,2022,34.37086,,
FRESP.THC,MKD,2012,52.62214,,
FRESP.THC,MKD,2013,49.14545,,
FRESP.THC,MKD,2014,49.14316,,
FRESP.THC,MKD,2015,49.0456,,
FRESP.THC,MKD,2016,50.82499,,
FRESP.THC,MKD,2017,52.27137,,
FRESP.THC,MKD,2018,53.40647,,
FRESP.THC,MKD,2019,53.3137,,
FRESP.THC,MKD,2020,53.73614,,
FRESP.THC,MKD,2021,54.18091,,
FRESP.THC,MKD,2022,54.43174,,
FRESP.THC,MLI,2015,10.43115,,
FRESP.THC,MLI,2017,15.11789,,
FRESP.THC,MLI,2019,18.6722,,
FRESP.THC,MLI,2021,11.85567,,
FRESP.THC,MLT,2012,29.41586,,
FRESP.THC,MLT,2013,30.36876,,
FRESP.THC,MLT,2014,30.39288,,
FRESP.THC,MLT,2015,28.54108,,
FRESP.THC,MLT,2016,28.70748,,
FRESP.THC,MLT,2017,30.9185,,
FRESP.THC,MLT,2018,32.18771,,
FRESP.THC,MLT,2019,33.35471,,
FRESP.THC,MLT,2020,33.02975,,
FRESP.THC,MLT,2021,32.74588,,
FRESP.THC,MLT,2022,33.29934,,
FRESP.THC,MMR,2017,75.61881,,
FRESP.THC,MMR,2018,76.83665,,
FRESP.THC,MMR,2019,75.97043,,
FRESP.THC,MMR,2020,75.93397,,
FRESP.THC,MMR,2021,75.07622,,
FRESP.THC,MMR,2022,71.09024,,
FRESP.THC,MNE,2013,50.89672,,
FRESP.THC,MNE,2014,49.12178,,
FRESP.THC,MNE,2015,47.56512,,
FRESP.THC,MNE,2017,49.86911,,
FRESP.THC,MNE,2018,49.5614,,
FRESP.THC,MNE,2019,52.08071,,
FRESP.THC,MNG,2012,49.61623,,
FRESP.THC,MNG,2013,48.90167,,
FRESP.THC,MNG,2014,48.92275,,
FRESP.THC,MNG,2015,49.00911,,
FRESP.THC,MNG,2016,49.08759,,
FRESP.THC,MNG,2017,57.47638,,
FRESP.THC,MNG,2018,48.87846,,
FRESP.THC,MNG,2019,48.17401,,
FRESP.THC,MNG,2020,56.9402,,
FRESP.THC,MNG,2022,57.41091,,
FRESP.THC,MOZ,2015,28.92358,,
FRESP.THC,MRT,2016,23.11091,,
FRESP.THC,MRT,2018,24.48534,,
FRESP.THC,MUS,2012,41.92635,,
FRESP.THC,MUS,2018,43.71542,,
FRESP.THC,MUS,2019,46.36542,,
FRESP.THC,MUS,2020,48.32215,,
FRESP.THC,MUS,2021,48.54557,,
FRESP.THC,MUS,2022,48.85932,,
